hour,day,month,dayofweek,gen_lag_1,gen_lag_24
17,21,1,3,30.0,29.0
18,21,1,3,29.0,29.0
19,21,1,3,29.0,29.0
20,21,1,3,29.0,29.0
21,21,1,3,29.0,29.0
22,21,1,3,29.0,29.0
23,21,1,3,29.0,1.0
0,22,1,4,1.0,1.0
1,22,1,4,1.0,1.0
2,22,1,4,1.0,1.0
3,22,1,4,1.0,0.0
4,22,1,4,0.0,0.0
5,22,1,4,0.0,0.0
6,22,1,4,0.0,20.0
7,22,1,4,27.0,745.0
8,22,1,4,809.0,2346.0
9,22,1,4,2473.0,4311.0
10,22,1,4,4053.0,5053.0
11,22,1,4,4867.0,5670.0
12,22,1,4,5493.0,5163.0
13,22,1,4,5142.0,3915.0
14,22,1,4,4069.0,1900.0
15,22,1,4,1947.0,476.0
16,22,1,4,408.0,30.0
17,22,1,4,30.0,29.0
18,22,1,4,29.0,29.0
19,22,1,4,29.0,29.0
20,22,1,4,29.0,29.0
21,22,1,4,29.0,29.0
22,22,1,4,29.0,29.0
23,22,1,4,29.0,1.0
0,23,1,5,1.0,1.0
1,23,1,5,1.0,1.0
2,23,1,5,1.0,1.0
3,23,1,5,1.0,0.0
4,23,1,5,0.0,0.0
5,23,1,5,0.0,0.0
6,23,1,5,0.0,27.0
7,23,1,5,67.0,809.0
8,23,1,5,1028.0,2473.0
9,23,1,5,2940.0,4053.0
10,23,1,5,4702.0,4867.0
11,23,1,5,5535.0,5493.0
12,23,1,5,5439.0,5142.0
13,23,1,5,4549.0,4069.0
14,23,1,5,4016.0,1947.0
15,23,1,5,1897.0,408.0
16,23,1,5,444.0,30.0
17,23,1,5,34.0,29.0
18,23,1,5,29.0,29.0
19,23,1,5,29.0,29.0
20,23,1,5,29.0,29.0
21,23,1,5,29.0,29.0
22,23,1,5,29.0,29.0
23,23,1,5,29.0,1.0
0,24,1,6,1.0,1.0
1,24,1,6,0.0,1.0
2,24,1,6,1.0,1.0
3,24,1,6,1.0,0.0
4,24,1,6,0.0,0.0
5,24,1,6,0.0,0.0
6,24,1,6,0.0,67.0
7,24,1,6,23.0,1028.0
8,24,1,6,1051.0,2940.0
9,24,1,6,3199.0,4702.0
10,24,1,6,4984.0,5535.0
11,24,1,6,6211.0,5439.0
12,24,1,6,6485.0,4549.0
13,24,1,6,6056.0,4016.0
14,24,1,6,4865.0,1897.0
15,24,1,6,2581.0,444.0
16,24,1,6,609.0,34.0
17,24,1,6,33.0,29.0
18,24,1,6,29.0,29.0
19,24,1,6,29.0,29.0
20,24,1,6,29.0,29.0
21,24,1,6,29.0,29.0
22,24,1,6,29.0,29.0
23,24,1,6,29.0,1.0
0,25,1,0,1.0,0.0
1,25,1,0,0.0,1.0
2,25,1,0,1.0,1.0
3,25,1,0,0.0,0.0
4,25,1,0,0.0,0.0
5,25,1,0,0.0,0.0
6,25,1,0,0.0,23.0
7,25,1,0,84.0,1051.0
8,25,1,0,1517.0,3199.0
9,25,1,0,3927.0,4984.0
10,25,1,0,5876.0,6211.0
11,25,1,0,6781.0,6485.0
12,25,1,0,7134.0,6056.0
13,25,1,0,6762.0,4865.0
14,25,1,0,5176.0,2581.0
15,25,1,0,2716.0,609.0
16,25,1,0,615.0,33.0
17,25,1,0,34.0,29.0
18,25,1,0,29.0,29.0
19,25,1,0,29.0,29.0
20,25,1,0,29.0,29.0
21,25,1,0,29.0,29.0
22,25,1,0,29.0,29.0
23,25,1,0,29.0,1.0
0,26,1,1,0.0,0.0
1,26,1,1,0.0,1.0
2,26,1,1,0.0,0.0
3,26,1,1,0.0,0.0
4,26,1,1,0.0,0.0
5,26,1,1,0.0,0.0
6,26,1,1,0.0,84.0
7,26,1,1,80.0,1517.0
8,26,1,1,1411.0,3927.0
9,26,1,1,3596.0,5876.0
10,26,1,1,5460.0,6781.0
11,26,1,1,6376.0,7134.0
12,26,1,1,6512.0,6762.0
13,26,1,1,6144.0,5176.0
14,26,1,1,4701.0,2716.0
15,26,1,1,2528.0,615.0
16,26,1,1,583.0,34.0
17,26,1,1,34.0,29.0
18,26,1,1,29.0,29.0
19,26,1,1,29.0,29.0
20,26,1,1,29.0,29.0
21,26,1,1,29.0,29.0
22,26,1,1,29.0,29.0
23,26,1,1,29.0,0.0
0,27,1,2,0.0,0.0
1,27,1,2,0.0,0.0
2,27,1,2,0.0,0.0
3,27,1,2,0.0,0.0
4,27,1,2,0.0,0.0
5,27,1,2,0.0,0.0
6,27,1,2,0.0,80.0
7,27,1,2,66.0,1411.0
8,27,1,2,1212.0,3596.0
9,27,1,2,3006.0,5460.0
10,27,1,2,4456.0,6376.0
11,27,1,2,5333.0,6512.0
12,27,1,2,5732.0,6144.0
13,27,1,2,5429.0,4701.0
14,27,1,2,3659.0,2528.0
15,27,1,2,1983.0,583.0
16,27,1,2,439.0,34.0
17,27,1,2,34.0,29.0
18,27,1,2,29.0,29.0
19,27,1,2,29.0,29.0
20,27,1,2,29.0,29.0
21,27,1,2,29.0,29.0
22,27,1,2,29.0,29.0
23,27,1,2,29.0,0.0
0,28,1,3,0.0,0.0
1,28,1,3,0.0,0.0
2,28,1,3,0.0,0.0
3,28,1,3,1.0,0.0
4,28,1,3,0.0,0.0
5,28,1,3,0.0,0.0
6,28,1,3,0.0,66.0
7,28,1,3,56.0,1212.0
8,28,1,3,1041.0,3006.0
9,28,1,3,2462.0,4456.0
10,28,1,3,3594.0,5333.0
11,28,1,3,4270.0,5732.0
12,28,1,3,4688.0,5429.0
13,28,1,3,4310.0,3659.0
14,28,1,3,3598.0,1983.0
15,28,1,3,2018.0,439.0
16,28,1,3,494.0,34.0
17,28,1,3,35.0,29.0
18,28,1,3,29.0,29.0
19,28,1,3,29.0,29.0
20,28,1,3,29.0,29.0
21,28,1,3,29.0,29.0
